INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat,Format,Printer (Nat. No. – Date NE)
2008,BR,21070,Do Cabo Frio ao Cabo de Santa Marta Grande,-28.6666666667,-21.8333333333,-49.1666666667,-38.25,98/,1000000,-36,A0,
2009,BR,21080,Do Cabo de Santa Marta Grande ao Arroio Chui,-34.1666666667,-28,-53.8333333333,-43,11/,1000000,-36,A0,
2010,UY/AR,1/H-1,De Arroyo del Chui a Mar del Plata,-40,-33.3333333333,-59,-46.8333333333,(11)/,1000000,-36,A0,
2011,AR,H-2,De Mar del Plata a Faro San Gregorio,-45.1666666667,-37.75,-66,-51.1666666667,,1000000,-54,A0,
2126,BR,23300,De Paranaguá a Imbituba,-28.3333333333,-25.3333333333,-48.9166666667,-46.6166666667,04/,300000,-28.6666666667,A0,
2127,BR,23400,De Imbituba a Pinhal,-29.4166666667,-28,-50.25,-48,09/,300000,-28.6666666667,A0,
2128,BR,23500,De Pinhal ao Rio Grande,-34.2333333333,-32.2166666667,-52.25,-48.9166666667,08/,300000,-28.6666666667,A0,
2129,BR,23600,Do Rio Grande ao Arroio Chuí,-33.9166666667,-32,-53.6666666667,-50.3333333333,10/,300000,-28.6666666667,A0,
2130,UY,38412,De Arroyo del Chui a Punta del Este,-35.8333333333,-33.6666666667,-55.1666666667,-51.3333333333,,300000,-40,A0,
2131,UY/AR,/H-113,De Punta del Este a Buenos Aires,-36,-33.8333333333,-58.5833333333,-54.75,11/,300000,-40,A0,
2132,AR,H-114,De Punta Piedras a Querandí,-37.5,-35.3833333333,-57.5,-53.6666666667,(04)/,300000,-40,A0,
2133,AR,H-210,De Querandí a Punta Negra,-39.4,-37.3333333333,-59.25,-55.4166666667,(08)/,300000,-40,A0,
2134,AR,H-211,El Rincón,-40.7,-38.6666666667,-62.6666666667,-58.8333333333,(12)/,300000,-40,A0,
2135,AR,H-214,De Faro Segunda Barranca a Faro Punta Bajos,-42.4666666667,-40.5,-65.1666666667,-61.3333333333,,300000,-40,A0,
2136,AR,H-215,De Faro Punta Norte a Faro San José,-44.6,-41.8333333333,-65.4166666667,-62.7833333333,(12)/,300000,-40,A0,
