INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat,Format,Printer (Nat. No. – Date NE)
2012,AR,H-3,De Faro San Gregorio a Punta Cascajo,-50.75,-44.0833333333,-69.5,-55,,1000000,-54,A0,
2136,AR,H-310,Golfo San Jorge,-47.3333333333,-44.1666666667,-67.6666666667,-64.5,,300000,-54,A0,
