INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat,Format,Printer (Nat. No. – Date NE)
200,AR,200,Rincón de Cabo Corrientes a Faro Segunda Barranca,-57,-34,-70,-48.5833333333,77/13,3500000,-22.5,,GB (4200 – 10)
201,BR,19300,Costa Sueste da América do Sul,-38.3333333333,-19,-59,-26,73/02,3500000,-22.5,,GB (4201 – 11)
202,BR,19200,Costa Leste da América do Sul (East Coast of South America),-24,-3,-47,-14,75/04,3500000,-22.5,,GB (4202 – 11)
215,BR,19400,Recife to Dakar,-15,18,-37,-14,76/,3500000,-22.5,,GB (4215 – 11)
