INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat,Format,Printer (Nat. No. – Date NE)
6000,CO,COL/006,Coasta Oeste de Colombia - Bahía de Panamá a Cabo San Francisco,0.5,9.0833333333,-86,-77,90/11,1000000,5.1833333333,,
6001,EC,,,,,,,,1000000,-1,,
6002,EC,,,,,,,,1000000,-1,,
6003,PE,,,,,,,,1000000,-5.8333333333,,
6004,PE,,,,,,,,1000000,-10.9166666667,,
6005,PE,,,,,,,,1000000,-10.6666666667,,
6006,CL,510,Rada de Arica a Rada de Antofagasta,-23.8333333333,-18,-80.5,-69.8333333333,---,1000000,-20.9166666667,,
6007,CL,520,Rada de Antofagasta a Puerto Huasco,-28.8333333333,-23,-80.6666666667,-70,--,1000000,-25.9166666667,,
6100,CO,COL/030,Canal de Panama a Golfo de Cupica,6.1166666667,9.45,-81.8333333333,-77.1666666667,94/04,500000,7.7833333333,,
6105,CO,COL/031,Golfo de Cupica a Bahía de Buenaventura,3.5,6.7833333333,-81.75,-77,95/04,500000,5.1166666667,,
6110,CO,COL/032,Bahía de Buenaventura a Bahía Ancón de Sardinas,0.9166666667,4.1166666667,-81.7833333333,-77.05,97/04,500000,2.5166666667,,
6115,EC,,,,,,,,500000,0.25,,
6120,EC,EC/20,,,,,,96/,500000,0.0833333333,,
6125,EC,,,,,,,,500000,-2.25,,
6130,PE,,,,,,,,500000,-4.5416666667,,
6135,PE,,,,,,,,500000,-7.2916666667,,
6140,PE,,,,,,,,500000,-9.9583333333,,
6145,PE,,,,,,,,500000,-12.6666666667,,
6150,PE,,,,,,,,500000,-15.3333333333,,
6155,PE,,,,,,,,500000,-17,,
6200,CL,1000,Rada de Arica a Bahía Mejillones del Sur,-23.2666666667,-18.1666666667,-73,-69.8333333333,(94)/,500000,-20.7166666667,,
6205,CL,2000,Bahía Mejillones del Sur a Puerto Caldera,-27.2166666667,-22.6666666667,-73,-69.8333333333,(79)/,500000,-24.9416666667,,
6215,CL,2410,Isla San Féliz y San Ambrosio,-26.4855,-26.1471666667,-80.2166666667,-79.7155,--,50000,-26.3166666667,,
