INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat,Format,Printer (Nat. No. – Date NE)
6008,CL,530,Puerto Huasco a Bahia Valparaiso,-33.9166666667,-28,-81.6666666667,-71,--,1000000,-30.9583333333,,
6009,CL,540,Bahía Valparaíso a Isla Mocha,-38.8333333333,-32.8333333333,-82,-71.3333333333,--,1000000,-35.8333333333,,
6010,CL,550,Isla Mocha a Isla Guafo,-44,-38,-82.8333333333,-72.1666666667,--,1000000,-41,,
6011,CL,560,Isla Guafo a Isla Duque de York,-51.5,-43.5,-80,-72,(55)/,1000000,-47.5,,
6012,CL,570,Isla Diego de Almagro a Islas Diego Ramírez,-57,-51,-77.5,-63.5,(60)/,1000000,-54,,
6013,CL,580,Isla Noir a Isla de Los Estados,-60.8333333333,-54.3333333333,-79,-63.3,--,1000000,-57.5833333333,,
6220,CL,3000,Puerto Caldera a Bahía Coquimbo,-30.3333333333,-26.5833333333,-73.5,-70.5,(79)/,500000,-28.4583333333,,
6225,CL,4000,Bahía Coquimbo a Bahía Valparaíso,-33.3333333333,-29.6666666667,-74,-71,(84)/,500000,-31.5,,
6230,CL,5400,Archipiélago Juan Fernández,-35.3333333333,-32,-82.3333333333,-77,--,500000,-33.6666666667,,
6235,CL,5000,Bahía Valparaíso a Golfo de Arauco,-37.3333333333,-32.6666666667,-74.8333333333,-71.3333333333,(81)/,500000,-35,,
6240,CL,6000,Golfo de Arauco a Bahía Corral,-40.3333333333,-36.5,-76,-72.6666666667,(80)/,500000,-38.4166666667,,
6245,CL,7000,Bahía Corral a Isla Guafo,-44,-39.6666666667,-76,-72.3333333333,(01)/,500000,-41.8333333333,,
6250,CL,8000,Isla Guafo a Golfo de Penas,-47.1666666667,-43.1666666667,-77,-72.3333333333,(01)/,500000,-45.0833333333,,
6255,CL,9000,Golfo de Penas a Golfo Trinidad,-50.3333333333,-46.3333333333,-77.5,-74,(74)/,500000,-48.3333333333,,
6260,CL,10000,Canal Trinidad a Estrecho de Magallanes,-53.0833333333,-49.6666666667,-77,-73.1833333333,(70)/,500000,-51.375,,
6265,CL,11000,Islotes Evangelistas a Punta Dungeness,-54.6666666667,-51.3333333333,-75.4166666667,-67.2333333333,(97)/,500000,-53,,
6270,CL,12000,Isla Santa Ines a Isla Diego Ramírez,-56.8333333333,-53.5,-77,-68.5,--,500000,-55.1666666667,,
6275,CL,13000,Boca Oriental del Estrecho de Magallanes a Is. Diego Ramírez,-57,-52,-70,-63.7166666667,(86)/,500000,-54.0833333333,,
