INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat,Format,Printer (Nat. No. – Date NE)
608,CL,900,Guayaquil a Valparaiso,-34,-1,-91,-70,77/,3500000,-22.5,,"DE, FR, GB (4608-10), US"
609,CL,910,Valparaiso a Islas Diego Ramírez,-57,-33,-86.5,-65,77/,3500000,-22.5,,"DE, FR, GB (4609-10), US"
610,CL,525,Isla de Pascua e Isla Salas y Gómez,-36,-18,-118,-97,(88)/,2500000,-27,,
